Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Ealing - Southall Green,00AJGZ,E05000190,15200,3600,23.8,1.6,9406.3,14.3,24.7,59.7,243000,27150,23.6,83.9,16.3,0.9
Ealing - Southfield,00AJHA,E05000191,13600,2500,18.6,1.4,9714.3,7.4,18,77.6,780000,50170,9,64.5,14.3,0.8
Ealing - Walpole,00AJHB,E05000192,13500,2600,19.1,1.5,9033.3,7.8,18.5,77.3,612500,46240,10.2,73.8,20.1,0.8
Enfield - Bowes,00AKGL,E05000193,14550,2650,18.2,1.5,9733.3,9.3,21.1,71.9,319995,36300,16.7,50.8,15.3,0.8
Enfield - Bush Hill Park,00AKGM,E05000194,14150,2500,17.6,2.5,5720,10.8,22.4,73,360200,41800,20.4,53.9,29.6,1.3
Enfield - Chase,00AKGN,E05000195,14000,3150,22.3,16.9,834.3,12,24.4,69.5,324000,36350,22.4,55.8,81.5,1.1
Enfield - Cockfosters,00AKGP,E05000196,14100,2250,16.1,10.4,1370.2,9,20.6,66.9,472000,43570,19,46.4,68.8,1.3
Enfield - Edmonton Green,00AKGQ,E05000197,18350,4950,27.1,3.1,5951.6,17.6,30.1,53.8,210000,26010,30.5,117.7,33.2,0.6
Enfield - Enfield Highway,00AKGR,E05000198,16350,4050,24.9,4.6,3576.1,14.1,27,60.1,250000,29450,30.1,82.4,40.6,1
Enfield - Enfield Lock,00AKGS,E05000199,17000,4500,26.4,3.3,5166.7,16.3,26.7,62,217250,30240,26.5,69.2,39.6,0.9
Enfield - Grange,00AKGT,E05000200,13300,2300,17.3,3.3,4015.2,8.6,11.7,74.8,360000,45960,16.1,59.4,27.4,1.3
Enfield - Haselbury,00AKGU,E05000201,16500,4050,24.5,1.8,9277.8,14.5,26.9,59.3,260000,29600,27.2,61.1,27,0.8
Enfield - Highlands,00AKGW,E05000202,13550,2200,16.4,5.1,2647.1,8.9,19.4,72.9,375000,43540,18.7,40.4,56.4,1.2
Enfield - Jubilee,00AKGX,E05000203,14600,3500,24.1,3.9,3782.1,12.8,24.3,62.2,250000,30800,28.5,58.8,60.6,1
Enfield - Lower Edmonton,00AKGY,E05000204,16700,4700,28,2.2,7681.8,13.2,27.6,57.9,248000,28110,28.5,56.2,40.6,0.7
Enfield - Palmers Green,00AKGZ,E05000205,15650,2900,18.5,1.9,8263.2,11,22.5,70.2,353500,37970,20.6,70.3,15.4,1
Enfield - Ponders End,00AKHA,E05000206,17050,4400,25.7,3.5,4771.4,16.7,29.6,58,248000,28560,26.9,80.6,44.5,0.8
Enfield - Southbury,00AKHB,E05000207,14950,3700,24.7,2.9,5172.4,12,21.4,65,265000,33260,24.6,98.8,29.3,0.9
Enfield - Southgate,00AKHC,E05000208,14800,2850,19.2,2.7,5537,9.5,17.5,71.1,347500,41520,16.1,62.6,27.1,1.1
Enfield - Southgate Green,00AKHD,E05000209,14400,2550,17.9,2.6,5538.5,9.7,21.8,70.4,500000,42750,16.3,43.2,20.6,1.1
Enfield - Town,00AKHE,E05000210,15150,3000,19.8,2.2,6954.5,10.8,20.6,75.9,350000,42300,17.4,50.3,16,1.2
Enfield - Turkey Street,00AKHF,E05000211,14700,3600,24.4,2.3,6434.8,13.4,25.8,60.9,250000,28960,30.2,74.5,30.5,1
Enfield - Upper Edmonton,00AKHG,E05000212,18600,4800,25.7,2.7,6777.8,14.7,30.1,58.4,250000,28480,28.3,120.2,17.6,0.8
Enfield - Winchmore Hill,00AKHH,E05000213,13700,2550,18.6,2.8,4928.6,6.6,19.3,75.1,435000,45880,15.4,43.7,25.2,1.2
Greenwich - Abbey Wood,00ALGP,E05000214,16200,4300,26.4,2.7,5722.2,16.6,28.8,63.6,250000,31540,25.3,77.6,44,0.7
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,13300,2300,17.3,2.1,6047.6,6.8,21.9,75.5,427500,49160,12.1,76.6,15.4,0.8
Greenwich - Charlton,00ALGR,E05000216,14650,3300,22.6,2,7050,12.8,26.4,67.7,363000,37940,20.8,60.7,31.5,0.7
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,13450,2350,17.4,2.5,5180,10.5,21.9,70.7,325000,38390,25.4,58.1,20,1.1
Greenwich - Eltham North,00ALGT,E05000218,12900,2250,17.6,2.6,4788.5,6.8,16.1,75.1,345000,43120,20,67.2,24.6,1.1
Greenwich - Eltham South,00ALGU,E05000219,13100,2050,15.8,4.6,2717.4,12.1,24.3,64.9,288750,37120,21.5,75.9,54.6,1
Greenwich - Eltham West,00ALGW,E05000220,12500,2700,21.5,2.4,4666.7,13.8,24.4,64,315500,34250,30.8,59.9,30.5,0.9
Greenwich - Glyndon,00ALGX,E05000221,18500,4350,23.6,1.7,10441.2,14.1,24.7,62.5,224995,31690,21.4,60.9,32.6,0.6
Greenwich - Greenwich West,00ALGY,E05000222,18450,3450,18.8,2.8,6053.6,11.1,25.2,68.6,450000,42270,12.8,104,49,0.6
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,14650,2900,19.7,2.4,5854.2,11,24.1,67.3,260050,35740,23.7,70.3,28.2,0.9
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,13900,2900,20.8,3.3,4045.5,11.5,25,65.6,292755,35340,25.5,64.4,37,0.9
Greenwich - Peninsula,00ALHB,E05000225,24500,4650,19,4.5,4155.6,7,20.3,74.2,379000,41840,15,107.6,33.7,0.6
Greenwich - Plumstead,00ALHC,E05000226,17050,3950,23.1,2.4,6854.2,14.1,25.3,63.9,249000,32390,21.6,78.7,41,0.7
Greenwich - Shooters Hill,00ALHD,E05000227,13750,2750,20.2,3.8,3486.8,12.8,22.7,69.5,270000,39030,19.4,46.3,57.2,1
Greenwich - Thamesmead Moorings,00ALHE,E05000228,22200,6450,29.1,4.8,4218.8,16.9,28.9,62.9,190000,34450,18.7,70.5,55.4,0.7
Greenwich - Woolwich Common,00ALHF,E05000229,19550,5250,26.7,2.6,6903.8,14,26.6,60.5,267500,30260,21.8,103,39.4,0.6
Greenwich - Woolwich Riverside,00ALHG,E05000230,23050,5550,24,3.2,6359.4,15.4,24.1,64.7,266250,33540,19.9,112.8,34.9,0.5
Hackney - Brownswood,00AMGA,E05000231,13300,1850,13.8,0.8,15187.5,15,28.8,72,440000,40070,14.1,87.3,25.6,0.4
Hackney - Cazenove,00AMGB,E05000232,13800,4050,29.3,0.7,19214.3,12.1,24.5,64.8,375000,38130,23.5,49.7,12.8,0.4
Hackney - Chatham,00AMGC,E05000233,13950,2950,21.1,0.9,15055.6,17.4,23.8,63,415000,32510,21.1,115.3,20.4,0.4
Hackney - Clissold,00AMGD,E05000234,12650,2450,19.3,0.7,17642.9,8.9,17.6,73.3,499950,45450,14.3,75.4,12.3,0.5
Hackney - Dalston,00AMGE,E05000235,15950,2650,16.6,0.9,17000,10.6,26.7,70.4,485000,38230,15.9,158.6,17.1,0.4
Hackney - De Beauvoir,00AMGF,E05000236,15200,2400,15.8,0.9,16000,13.7,30.3,71.1,480000,39060,15.6,147.9,14.2,0.4
Hackney - Hackney Central,00AMGG,E05000237,13200,2300,17.5,0.8,16000,14.4,25.6,66.6,450000,35260,18.4,114.6,14.1,0.3
Hackney - Hackney Downs,00AMGH,E05000238,13400,2600,19.5,1,13100,10.7,25.7,65.1,433000,35700,19.3,80,33.8,0.4
Hackney - Haggerston,00AMGJ,E05000239,15250,2200,14.5,1.2,12166.7,13.5,29,67.4,452500,36080,16.1,162.3,19.1,0.3
Hackney - Hoxton,00AMGK,E05000240,16300,2450,15,0.8,19750,14.8,27.6,62.7,475000,34970,17.7,127.2,27.6,0.3
Hackney - King's Park,00AMGL,E05000241,11650,2800,24.1,1.8,6305.6,14.6,25.5,57.6,383000,31970,24.6,68,66.9,0.5
Hackney - Leabridge,00AMGM,E05000242,14600,2950,20.1,1.1,12954.5,10.7,22.1,65.6,375000,35110,18.5,79.9,23,0.5
Hackney - Lordship,00AMGN,E05000243,12700,3650,28.6,1.2,10333.3,10.1,23.1,64.6,420000,39940,24.2,66.5,33.6,0.5
Hackney - New River,00AMGP,E05000244,14500,4250,29.2,1,13450,18.2,29.1,58.2,340000,35590,29,63.1,28,0.4
Hackney - Queensbridge,00AMGQ,E05000245,14450,2400,16.6,1.1,12727.3,12.9,21.8,67.7,465000,36720,18.8,116.8,15.6,0.4
Hackney - Springfield,00AMGR,E05000246,12800,4200,32.7,1,12500,13.5,23.8,53.8,285000,33570,31.7,73.7,26.5,0.4
Hackney - Stoke Newington Central,00AMGS,E05000247,13050,2100,16.1,0.7,18214.3,10.7,25.6,73.4,483125,42400,14.2,93.3,13.3,0.4
Hackney - Victoria,00AMGT,E05000248,13750,2750,20.1,0.8,16812.5,14.8,28.6,65.6,471250,37350,19.5,93,21,0.4
Hackney - Wick,00AMGU,E05000249,12350,2600,20.9,1.6,7500,15.8,30.8,60.4,340000,32890,22.8,99.8,48.8,0.5
Hammersmith and Fulham - Addison,00ANGA,E05000250,11650,1850,16.1,0.6,19083.3,6.4,23.8,76.2,572500,43970,9.3,107.4,0.3,0.5
Hammersmith and Fulham - Askew,00ANGB,E05000251,14300,2550,17.8,0.8,17562.5,9.5,21.6,71.8,499999.5,38450,13.7,75.4,3.6,0.5
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,12700,1550,12.2,0.9,13722.2,11.1,25.3,69.5,618250,43350,9.3,70.5,8.8,0.5
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,10700,2100,19.5,3.4,2897.1,12.8,21.8,62.6,458000,30890,23,115.7,43.8,0.4
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,11550,1650,14.4,0.7,16000,8.3,20,72.4,805000,42130,14.8,95.2,3.1,0.5
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,11800,1550,13.1,0.9,12777.8,12.1,21.1,71,786250,42010,11.7,98.6,20.9,0.5
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,12250,2000,16.3,1.1,10954.5,8.7,23,69.9,741250,39500,15,224.9,9.1,0.5
Hammersmith and Fulham - Munster,00ANGH,E05000257,11150,1900,17.1,0.6,18250,10.3,19.5,76.7,745000,50240,9.7,64.5,8.5,0.7
Hammersmith and Fulham - North End,00ANGJ,E05000258,12650,1600,12.8,0.6,20083.3,8,26,72.7,558000,39510,11.2,64.6,10.7,0.4
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,7600,1400,18.2,1.5,5000,9.1,12.7,74.3,950000,53330,9.9,90.8,54.7,0.9
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,10850,2100,19.3,0.9,11944.4,9.1,23.4,73.7,1330000,55720,9.5,124.8,9.8,0.8
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,11000,1950,17.7,1.2,9000,7.7,13.1,72.2,704000,45510,9.9,101.1,16.3,0.6
Hammersmith and Fulham - Sands End,00ANGN,E05000262,13550,2550,18.9,1.4,9321.4,14.5,27.5,69.3,827750,44170,12.8,69.6,25,0.6
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,12950,2100,16.2,1.1,11318.2,10.7,28.1,72,440000,36430,13.9,281.4,9.7,0.4
Hammersmith and Fulham - Town,00ANGQ,E05000264,11350,2050,17.9,0.7,15928.6,12.5,24.3,76.4,690000,47940,9.4,100.7,0,0.6
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,13750,2950,21.5,0.9,14944.4,10.5,28.2,62.2,427500,31860,21.5,71.9,4.6,0.5
Haringey - Alexandra,00APGA,E05000266,12050,2450,20.4,2.6,4596.2,4.5,9.9,76.7,625000,51450,8,63.6,52.2,1
Haringey - Bounds Green,00APGB,E05000267,14400,2550,17.6,1.4,10035.7,10.6,22.8,69,332350,34550,17.3,82,22.8,0.6
Haringey - Bruce Grove,00APGC,E05000268,15050,3250,21.7,0.9,16388.9,14.8,26.4,61.8,325000,30340,22.5,85.2,4.9,0.5
Haringey - Crouch End,00APGD,E05000269,12800,2050,16.2,1.4,8964.3,2.4,11.6,80.9,563750,52070,6.4,67.3,13.9,0.7
Haringey - Fortis Green,00APGE,E05000270,13000,2500,19.4,2,6400,4.6,9.2,75.9,465000,49950,9.2,57.9,24,0.9
Haringey - Harringay,00APGF,E05000271,14100,2150,15.1,1.6,8562.5,7.8,25.9,71.8,430000,37150,14,89.5,45.4,0.5
Haringey - Highgate,00APGG,E05000272,12100,1800,14.8,2.5,4740,3.8,14.9,79,732500,53710,6.4,56.6,41.8,0.8
Haringey - Hornsey,00APGH,E05000273,13100,2300,17.7,1.1,11727.3,8.2,17.2,72.4,419000,40260,13.8,67.2,10,0.6
Haringey - Muswell Hill,00APGJ,E05000274,11050,1900,16.9,1.7,6411.8,2.7,10.2,78.4,820000,53910,8.3,71.7,30.7,0.9
Haringey - Noel Park,00APGK,E05000275,14700,2600,17.8,1.2,11958.3,14.2,31.3,63.2,350000,30620,20.8,200.7,11.5,0.5
Haringey - Northumberland Park,00APGL,E05000276,15150,3800,25.1,1.9,7763.2,17.2,30.5,52.3,252500,25090,29.2,130.5,23,0.5
Haringey - St. Ann's,00APGM,E05000277,16100,2850,17.6,1.1,14000,11.1,27.6,65.6,370000,32460,20.4,71,20,0.5
Haringey - Seven Sisters,00APGN,E05000278,16650,4200,25.3,1.3,12500,10.7,28.6,63.7,372500,33500,24.4,80,21.8,0.5
Haringey - Stroud Green,00APGP,E05000279,12250,1900,15.5,1.1,10909.1,5.8,18.1,77.3,477500,44780,10.1,54,24.7,0.6
Haringey - Tottenham Green,00APGQ,E05000280,15900,3300,20.7,1.4,10928.6,13.9,28.5,61.3,326500,28920,22.7,134.5,10.5,0.4
Haringey - Tottenham Hale,00APGR,E05000281,17300,3850,22.2,1.9,8552.6,16.5,28.8,56.3,251500,27340,24.7,103.7,29,0.5
Haringey - West Green,00APGS,E05000282,14050,2550,18.3,1.4,9821.4,13.8,26.6,63.3,350000,31110,23.9,80.4,38.2,0.5
Haringey - White Hart Lane,00APGT,E05000283,13950,3350,23.9,1.7,8058.8,16.2,26.9,54.8,267000,27010,30,82.1,27.9,0.6
Haringey - Woodside,00APGU,E05000284,15400,2800,18.3,1.5,10000,12,23.5,66.6,345000,32010,20,84.2,26.8,0.6
Harrow - Belmont,00AQFY,E05000285,11650,2350,20.4,1.8,6444.4,7.1,15.9,71.8,435000,42380,15.1,35.3,11,1.5
Harrow - Canons,00AQFZ,E05000286,13500,2600,19.3,5.6,2339.3,13.1,20,71.9,402500,39890,17.8,42.1,57.3,1.3
Harrow - Edgware,00AQGA,E05000287,12050,2550,21.1,1.4,8571.4,11.3,20.6,68.6,357500,33600,22.5,52.6,14.9,1.1
Harrow - Greenhill,00AQGB,E05000288,13100,2500,19.1,1.7,7617.6,10.9,20.5,71.1,272000,37550,11.7,129.9,7.7,0.8
Harrow - Harrow on the Hill,00AQGC,E05000289,12850,2800,21.9,3.6,3527.8,9.8,23,68.2,343000,39630,13.3,57.3,43.4,1
Harrow - Harrow Weald,00AQGD,E05000290,11650,2200,19,4.6,2532.6,12.7,20.5,69.1,384000,36940,19.4,47,56.3,1.3
Harrow - Hatch End,00AQGE,E05000291,10950,2050,18.6,3.3,3303,6.8,22.3,73.2,500000,42350,15.4,41.5,31,1.4
Harrow - Headstone North,00AQGF,E05000292,10400,1800,17.2,3.3,3136.4,4.8,17,73.8,427500,44470,12.9,40.9,49.5,1.4
Harrow - Headstone South,00AQGG,E05000293,11600,2350,20.4,1.5,7666.7,8.1,20.1,71.7,322500,39090,13.1,39.7,14.4,1.1
Harrow - Kenton East,00AQGH,E05000294,11500,2150,18.5,1.3,8846.2,11.6,22.3,68.5,380000,32880,23.4,33.5,7.2,1.2
Harrow - Kenton West,00AQGJ,E05000295,11550,2000,17.3,1.8,6388.9,10.4,21.8,71.6,434475,38400,17.9,40,17.9,1.4
Harrow - Marlborough,00AQGK,E05000296,13000,2900,22.4,1.6,8000,10.9,24.2,68.4,268950,34450,17.1,60.9,8.3,0.9
Harrow - Pinner,00AQGL,E05000297,10300,1850,18,3.3,3106.1,10.4,12.8,71.8,400000,43950,14.7,44.7,28.6,1.3
Harrow - Pinner South,00AQGM,E05000298,10650,2200,20.8,2.4,4416.7,6.4,15.2,75.2,520000,49420,11.4,24.5,22.2,1.4
Harrow - Queensbury,00AQGN,E05000299,12350,2600,21.3,1.6,7687.5,10.5,23.8,68.1,390000,35030,20.8,37.4,23.3,1.2
Harrow - Rayners Lane,00AQGP,E05000300,11450,2350,20.6,1.5,7600,6,17.9,71.5,380000,40310,13.7,33.5,10.7,1.3
Harrow - Roxbourne,00AQGQ,E05000301,13150,3200,24.5,1.5,8733.3,9.5,22.7,64.8,290000,32130,19.2,53.1,15.3,1
Harrow - Roxeth,00AQGR,E05000302,12000,2650,22.2,1.6,7468.8,9.7,22.3,68.6,355000,35110,17.3,64.1,18.4,1.2
Harrow - Stanmore Park,00AQGS,E05000303,11450,2000,17.5,4.5,2544.4,9.3,15.9,68.6,555000,39210,19.7,53.3,45.8,1.4
Harrow - Wealdstone,00AQGT,E05000304,11700,2800,23.8,1.2,9708.3,11.8,23.3,65.1,310000,32080,20.9,54.5,3.3,1
Harrow - West Harrow,00AQGU,E05000305,10700,2150,19.9,1.5,7066.7,7.3,20.6,71.5,363500,40210,13.4,31.2,19.7,1.1
Havering - Brooklands,00ARGC,E05000306,17100,3850,22.4,4.2,3785.7,8,21.9,72.7,207500,35250,24.9,71.9,44.9,1
Havering - Cranham,00ARGD,E05000307,12650,2150,16.8,6.6,1901.5,9,19,75.6,320000,42250,22.2,32.3,55.9,1.3
Havering - Elm Park,00ARGE,E05000308,12700,2350,18.5,3.7,3391.9,11,23.4,73.4,250000,34730,29.6,39.4,55.7,1.1
Havering - Emerson Park,00ARGF,E05000309,12100,1850,15.3,4.6,2608.7,10.5,19.6,74.3,365000,43790,23.1,36.3,31.3,1.6
Havering - Gooshays,00ARGG,E05000310,15400,3600,23.5,7.8,1916.7,14.3,21.9,63,229000,29400,34.2,79.9,68.4,1
Havering - Hacton,00ARGH,E05000311,12600,2000,15.9,2.5,4960,12.1,16.7,75.7,296500,39740,25.3,26.1,24.2,1.3
Havering - Harold Wood,00ARGJ,E05000312,13750,2550,18.6,7.6,1730.3,7.7,17.1,72.2,250000,37010,25.8,67.8,60.7,1.2
Havering - Havering Park,00ARGK,E05000313,13200,2700,20.5,9.8,1326.5,9.7,22.2,69.1,250000,33590,30.4,45.7,75.2,1.3
Havering - Heaton,00ARGL,E05000314,13200,2900,22.1,3.4,3779.4,12.8,24.8,64.3,217000,29560,35.8,68.2,45.3,1
Havering - Hylands,00ARGM,E05000315,13150,2100,15.9,2.9,4500,3.9,16.8,75.6,275000,39890,23.7,55.8,26.1,1.4
Havering - Mawneys,00ARGN,E05000316,13100,2550,19.4,3,4316.7,10.6,21.8,73.2,250000,35820,29.6,52.2,32.1,1.2
Havering - Pettits,00ARGP,E05000317,13050,2200,17,4,3237.5,9.7,11.6,74.9,295000,40010,25.7,40.8,32.4,1.4
Havering - Rainham and Wennington,00ARGQ,E05000318,13150,2500,18.9,16.9,754.4,13.6,24,72.4,240000,34470,29.8,74.1,79,1.3
Havering - Romford Town,00ARGR,E05000319,18700,3650,19.6,2.9,5931,10.2,21,74.4,225000,37160,21,167.9,8.1,0.9
Havering - St. Andrew's,00ARGS,E05000320,13650,2300,16.7,2.7,4981.5,11.5,18.5,76.1,272500,38130,26.2,65.2,18.7,1.2
Havering - South Hornchurch,00ARGT,E05000321,16550,3600,21.6,6.8,2198.5,11.3,23.1,70.5,242000,33160,31.4,56.7,45.1,1.2
Havering - Squirrel's Heath,00ARGU,E05000322,13400,2450,18.1,2.6,5096.2,10.4,22.7,77.3,280250,41740,20,40.8,16.7,1.3
Havering - Upminster,00ARGW,E05000323,12950,2000,15.4,22.5,571.1,6.8,13.5,76.4,420000,47580,19,49.7,82,1.4
Hillingdon - Barnhill,00ASGG,E05000324,14050,3450,24.7,2.1,6595.2,11.5,27.1,65,250000,31800,22.4,81.6,27.7,1.2
Hillingdon - Botwell,00ASGH,E05000325,15950,4200,26.5,4.4,3545.5,9.8,22.6,64,250000,30700,24,96.5,32.2,1.1
Hillingdon - Brunel,00ASGJ,E05000326,14750,2350,15.9,3.3,4424.2,10.3,17.9,57.5,273750,34630,17.6,96.8,40.5,1.1
Hillingdon - Cavendish,00ASGK,E05000327,12100,2400,19.8,2,6000,6.4,16.7,77.6,400000,43970,17.2,33.8,17.7,1.4
Hillingdon - Charville,00ASGL,E05000328,13200,3000,22.7,3,4350,11.3,20.8,71,275000,35410,21.6,52.6,44.9,1.3
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,12600,2150,17.2,4.1,3048.8,5.9,12.1,76.8,500000,47380,13.6,41.9,33.4,1.5
Hillingdon - Harefield,00ASGN,E05000330,7750,1550,19.7,15.2,500,10,18.5,75.7,310000,37990,23.8,64.3,85.5,1.4
Hillingdon - Heathrow Villages,00ASGP,E05000331,13250,3050,23.2,23.5,546.8,12.8,23.2,71.7,209000,33170,19.2,272.2,29.5,1.1
Hillingdon - Hillingdon East,00ASGQ,E05000332,13700,3100,22.5,3.6,3722.2,9,19.6,72.4,311000,37250,19.3,55.8,48.2,1.3
Hillingdon - Ickenham,00ASGR,E05000333,10750,1900,17.6,6.2,1725.8,7,13.3,76.6,521000,48770,14.6,33.2,55.7,1.6
Hillingdon - Manor,00ASGS,E05000334,11900,2400,20.1,2,5875,9.3,14.9,80.5,372500,43460,17,38.8,18.1,1.3
Hillingdon - Northwood,00ASGT,E05000335,10850,1750,16.1,7.4,1452.7,4.1,13.9,73.3,470000,46550,13.3,46.3,61,1.3
Hillingdon - Northwood Hills,00ASGU,E05000336,12050,2250,18.9,3.3,3606.1,8.3,20.6,74.3,413500,43320,16.6,53.9,33.3,1.3
Hillingdon - Pinkwell,00ASGW,E05000337,15750,4150,26.2,2.7,5703.7,9.8,23.2,66.8,280000,31830,22,73.6,26.9,1.2
Hillingdon - South Ruislip,00ASGX,E05000338,12950,2650,20.7,7.4,1723,9.3,19.3,77.5,305000,40060,18.3,64.8,62.8,1.2
Hillingdon - Townfield,00ASGY,E05000339,14900,3550,24,3.5,4171.4,10.9,23,63.2,280000,30430,24.7,131.2,30.9,1
Hillingdon - Uxbridge North,00ASGZ,E05000340,13100,2400,18.4,4.6,2771.7,7.4,14.6,74,349950,41470,16.8,100.6,34.4,1.3
Hillingdon - Uxbridge South,00ASHA,E05000341,15000,2050,13.6,3.1,4758.1,12.3,20.9,56.8,259000,34270,14.1,103.3,25.9,1
Hillingdon - West Drayton,00ASHB,E05000342,15250,3600,23.5,3.5,4257.1,10,22.7,69,249997,32680,24.3,81.5,31.9,1.1
Hillingdon - West Ruislip,00ASHC,E05000343,11600,2150,18.6,4.4,2545.5,5.9,12.7,78.2,335000,43470,16.3,65.4,49.5,1.3
Hillingdon - Yeading,00ASHD,E05000344,14250,3800,26.8,2.3,6087,10.4,23.7,66.1,250000,33240,19.8,76.4,33.4,1.1
Hillingdon - Yiewsley,00ASHE,E05000345,13750,3150,22.7,4,3362.5,11,24.5,68.2,225000,32340,23.7,110.1,41.3,1
Hounslow - Bedfont,00ATFY,E05000346,12950,2950,22.8,4.4,2965.9,11.7,28.3,72.2,229000,31870,24,65,52.5,1.1
Hounslow - Brentford,00ATFZ,E05000347,15800,2950,18.5,3.2,4828.1,12.6,22.6,68,370000,35040,17.2,80,42.8,0.8
Hounslow - Chiswick Homefields,00ATGA,E05000348,11650,2200,18.8,2.3,5087,6.7,16.9,76.1,772500,51830,9.3,83.5,42.2,0.9
Hounslow - Chiswick Riverside,00ATGB,E05000349,11700,2300,19.7,2.1,5642.9,6.6,13.3,77.4,650000,49680,9.2,62.2,35.2,1
Hounslow - Cranford,00ATGC,E05000350,12750,2800,22.2,2.7,4722.2,12.7,26.6,65.6,226500,30860,20.2,74.4,26.4,1
Hounslow - Feltham North,00ATGD,E05000351,11850,2400,20.3,3.4,3514.7,12.7,25.9,71.6,270000,32850,26.1,77.4,37,1.1
Hounslow - Feltham West,00ATGE,E05000352,15800,3950,25,3.2,4968.8,14.5,24.2,71.8,225000,34010,20.5,69.8,41.4,1
Hounslow - Hanworth,00ATGF,E05000353,12400,2900,23.6,3.3,3787.9,13.1,27.1,66.9,250000,31150,26.4,72.9,45.6,1
